Date,Classification,Value
2023-01-01,Fear,10
2023-01-02,Fear,21
2023-01-03,Greed,66
2023-01-04,Fear,35
2023-01-05,Fear,29
2023-01-06,Fear,10
2023-01-07,Fear,40
2023-01-08,Greed,72
2023-01-09,Fear,38
2023-01-10,Fear,35
2023-01-11,Greed,70
2023-01-12,Fear,43
2023-01-13,Fear,40
2023-01-14,Fear,25
2023-01-15,Greed,73
2023-01-16,Fear,43
2023-01-17,Fear,44
2023-01-18,Fear,22
2023-01-19,Fear,41
2023-01-20,Fear,11
2023-01-21,Fear,10
2023-01-22,Fear,33
2023-01-23,Fear,37
2023-01-24,Greed,76
2023-01-25,Fear,20
2023-01-26,Fear,27
2023-01-27,Fear,44
2023-01-28,Fear,26
2023-01-29,Fear,15
2023-01-30,Fear,35
2023-01-31,Fear,37
2023-02-01,Fear,28
2023-02-02,Fear,27
2023-02-03,Fear,12
2023-02-04,Fear,29
2023-02-05,Fear,26
2023-02-06,Greed,74
2023-02-07,Fear,11
2023-02-08,Fear,41
2023-02-09,Fear,12
2023-02-10,Greed,59
2023-02-11,Fear,32
2023-02-12,Fear,15
2023-02-13,Fear,11
2023-02-14,Fear,24
2023-02-15,Fear,24
2023-02-16,Greed,85
2023-02-17,Fear,44
2023-02-18,Fear,40
2023-02-19,Fear,43
2023-02-20,Fear,13
2023-02-21,Greed,60
2023-02-22,Greed,87
2023-02-23,Fear,30
2023-02-24,Fear,41
2023-02-25,Fear,35
2023-02-26,Fear,40
2023-02-27,Fear,39
2023-02-28,Fear,31
2023-03-01,Greed,68
2023-03-02,Greed,92
2023-03-03,Greed,75
2023-03-04,Greed,74
2023-03-05,Greed,84
2023-03-06,Greed,72
2023-03-07,Greed,74
2023-03-08,Greed,69
2023-03-09,Greed,73
2023-03-10,Greed,88
2023-03-11,Greed,64
2023-03-12,Greed,91
2023-03-13,Greed,71
2023-03-14,Fear,44
2023-03-15,Greed,90
2023-03-16,Greed,76
2023-03-17,Greed,81
2023-03-18,Greed,57
2023-03-19,Greed,63
2023-03-20,Greed,86
2023-03-21,Greed,71
2023-03-22,Fear,36
2023-03-23,Greed,55
2023-03-24,Fear,36
2023-03-25,Greed,60
2023-03-26,Greed,93
2023-03-27,Greed,70
2023-03-28,Greed,64
2023-03-29,Fear,12
2023-03-30,Greed,83
2023-03-31,Fear,11
2023-04-01,Greed,93
2023-04-02,Fear,15
2023-04-03,Greed,79
2023-04-04,Greed,94
2023-04-05,Greed,65
2023-04-06,Greed,88
2023-04-07,Greed,61
2023-04-08,Greed,61
2023-04-09,Greed,88
2023-04-10,Greed,83
2023-04-11,Greed,70
2023-04-12,Greed,64
2023-04-13,Greed,56
2023-04-14,Greed,93
2023-04-15,Greed,90
2023-04-16,Greed,76
2023-04-17,Greed,79
2023-04-18,Greed,71
2023-04-19,Greed,70
2023-04-20,Greed,80
2023-04-21,Greed,58
2023-04-22,Greed,71
2023-04-23,Fear,14
2023-04-24,Fear,19
2023-04-25,Greed,91
2023-04-26,Fear,12
2023-04-27,Greed,65
2023-04-28,Greed,56
2023-04-29,Greed,75
2023-04-30,Greed,68
2023-05-01,Fear,43
2023-05-02,Greed,80
2023-05-03,Fear,10
2023-05-04,Greed,60
2023-05-05,Fear,32
2023-05-06,Greed,73
2023-05-07,Greed,93
2023-05-08,Greed,85
2023-05-09,Greed,91
2023-05-10,Greed,91
2023-05-11,Greed,68
2023-05-12,Greed,76
2023-05-13,Greed,88
2023-05-14,Greed,88
2023-05-15,Greed,82
2023-05-16,Greed,75
2023-05-17,Greed,92
2023-05-18,Greed,74
2023-05-19,Greed,63
2023-05-20,Greed,93
2023-05-21,Greed,93
2023-05-22,Greed,86
2023-05-23,Fear,32
2023-05-24,Greed,62
2023-05-25,Greed,57
2023-05-26,Greed,94
2023-05-27,Greed,69
2023-05-28,Greed,64
2023-05-29,Greed,70
2023-05-30,Fear,33
2023-05-31,Greed,83
2023-06-01,Fear,18
2023-06-02,Greed,68
2023-06-03,Fear,31
2023-06-04,Greed,74
2023-06-05,Fear,22
2023-06-06,Fear,29
2023-06-07,Fear,26
2023-06-08,Fear,35
2023-06-09,Fear,39
2023-06-10,Fear,29
2023-06-11,Greed,74
2023-06-12,Greed,82
2023-06-13,Greed,83
2023-06-14,Greed,60
2023-06-15,Fear,19
2023-06-16,Greed,77
2023-06-17,Fear,29
2023-06-18,Fear,44
2023-06-19,Fear,15
2023-06-20,Fear,31
2023-06-21,Fear,35
2023-06-22,Fear,40
2023-06-23,Fear,10
2023-06-24,Fear,16
2023-06-25,Fear,11
2023-06-26,Fear,27
2023-06-27,Fear,23
2023-06-28,Fear,16
2023-06-29,Fear,24
2023-06-30,Fear,24
2023-07-01,Greed,60
2023-07-02,Greed,80
2023-07-03,Greed,63
2023-07-04,Fear,16
