account,symbol,execution_price,size,side,time,start_position,event,closedPnL,leverage
0x2ef7f5ad798,BTC,6763.91,322.3669,Sell,2023-01-01 00:00:00,Short,LIQUIDATION,-1.8014,4.4
0x2903fb12447,BTC,4259.23,378.7164,Sell,2023-01-01 00:43:40,,FUNDING,-19.9853,6.0
0x293ba2c2452,ETH,51133.44,108.6755,Buy,2023-01-01 01:27:21,Long,TRADE,-18.2002,6.2
0x220cf166832,BTC,32780.82,12.3668,Sell,2023-01-01 02:11:02,Long,TRADE,-13.0113,9.6
0x220cf166832,DOGE,20638.44,25.9668,Sell,2023-01-01 02:54:43,Short,TRADE,1.3793,5.2
0xe51fff8866,SOL,42749.57,48.1908,Buy,2023-01-01 03:38:24,Short,TRADE,13.5996,6.1
0x21799520910,BTC,46743.71,52.8875,Buy,2023-01-01 04:22:05,Short,TRADE,0.6662,8.6
0x203b57d4632,SOL,28855.35,36.0922,Sell,2023-01-01 05:05:46,Short,TRADE,39.4761,5.3
0x2fd8183d373,BTC,14700.79,55.9452,Buy,2023-01-01 05:49:27,,LIQUIDATION,-3.9704,6.9
0x29910ea5550,BTC,16459.99,163.3486,Sell,2023-01-01 06:33:08,Short,TRADE,0.2912,6.4
0x2b41dcd7587,ETH,12031.12,118.707,Buy,2023-01-01 07:16:49,Long,TRADE,7.1514,16.2
0xba60287269,ETH,31092.94,48.193,Sell,2023-01-01 08:00:30,Long,TRADE,-6.5741,4.6
0x1bf2eb69331,BTC,25801.36,161.2024,Sell,2023-01-01 08:44:11,Short,TRADE,-2.8792,3.0
0x2f5fef85223,SOL,25909.53,171.7159,Sell,2023-01-01 09:27:52,Long,TRADE,-1.3063,4.2
0x13500e35426,SOL,31983.29,152.0517,Sell,2023-01-01 10:11:33,Long,TRADE,14.425,12.3
0x1a0f3a49162,BTC,36110.05,95.3955,Buy,2023-01-01 10:55:14,Long,TRADE,3.8798,8.4
0x37550a89430,BTC,10081.19,130.0335,Buy,2023-01-01 11:38:55,Short,TRADE,-1.6105,4.0
0x2ba0388c680,ETH,22953.63,87.2282,Sell,2023-01-01 12:22:36,Short,TRADE,7.8069,5.5
0x9a26803932,BTC,997.45,61.6505,Sell,2023-01-01 13:06:17,,TRADE,-13.8669,3.9
0x275aafa4549,ETH,48645.31,193.6442,Sell,2023-01-01 13:49:57,Short,LIQUIDATION,11.5417,8.7
0x2cab7e80292,ETH,12663.18,275.0312,Buy,2023-01-01 14:33:38,Long,TRADE,21.508,6.9
0x225b09fc503,ETH,58144.96,34.1692,Buy,2023-01-01 15:17:19,Long,TRADE,39.5621,4.0
0x373d8de7715,BTC,52489.87,1470.8468,Sell,2023-01-01 16:01:00,Long,TRADE,-7.6414,5.2
0x21802835318,AVAX,38676.64,24.5138,Sell,2023-01-01 16:44:41,Long,TRADE,-31.6516,10.0
0x39503642587,BTC,14738.94,83.4518,Buy,2023-01-01 17:28:22,Short,LIQUIDATION,32.539,3.3
0x34996f51679,ARB,177.02,187.4307,Sell,2023-01-01 18:12:03,Short,LIQUIDATION,-17.4416,4.5
